parkingDuration,tripDuration,ratio,Trip,tripFrom,tripTo,begin,end,mileage,tripDurationHour,parkingDurationHour,avgSpeed,maxSpeed,consumed,avgConsumed,timestampBegin,timestampEnd,datetimeBegin,datetimeEnd,xBegin,xEnd,yBegin,yEnd,nm
6.8,13.0,0.19,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '24 Apr 2022 22:57:06', 'v': 1650859026, 'y': -13.093835, 'x': -75.9887466667}","{'t': '25 Apr 2022 11:57:02', 'v': 1650905822, 'y': -12.0451283333, 'x': -77.128135}",256.0,12:59:56,6:48:11,20.0,77.0,28.65,8.94,1650859026,1650905822,2022-04-24 22:57:06,2022-04-25 11:57:02,-75.9887466667,-77.128135,-13.093835,-12.0451283333,BBB-850
3.04,9.7,0.21,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '26 Apr 2022 23:45:37', 'v': 1651034737, 'y': -13.0938866667, 'x': -75.9889}","{'t': '27 Apr 2022 09:27:30', 'v': 1651069650, 'y': -11.97131, 'x': -76.8833083333}",256.0,9:41:53,3:02:10,26.0,89.0,34.08,7.52,1651034737,1651069650,2022-04-26 23:45:37,2022-04-27 09:27:30,-75.9889,-76.8833083333,-13.0938866667,-11.97131,BBB-850
2.78,9.04,0.2,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '28 Apr 2022 00:08:43', 'v': 1651122523, 'y': -13.0938416667, 'x': -75.988785}","{'t': '28 Apr 2022 09:10:58', 'v': 1651155058, 'y': -12.0450733333, 'x': -77.1280366667}",259.0,9:02:15,2:47:05,29.0,94.0,30.55,8.48,1651122523,1651155058,2022-04-28 00:08:43,2022-04-28 09:10:58,-75.988785,-77.1280366667,-13.0938416667,-12.0450733333,BBB-850
3.77,9.76,0.2,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '28 Apr 2022 23:35:38', 'v': 1651206938, 'y': -13.0938983333, 'x': -75.9889066667}","{'t': '29 Apr 2022 09:21:31', 'v': 1651242091, 'y': -12.0450833333, 'x': -77.1278916667}",257.0,9:45:53,3:46:17,26.0,89.0,28.93,8.87,1651206938,1651242091,2022-04-28 23:35:38,2022-04-29 09:21:31,-75.9889066667,-77.1278916667,-13.0938983333,-12.0450833333,BBB-850
2.95,8.41,0.22,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '29 Apr 2022 23:45:50', 'v': 1651293950, 'y': -13.0938616667, 'x': -75.9888533333}","{'t': '30 Apr 2022 08:10:42', 'v': 1651324242, 'y': -12.0450666667, 'x': -77.12793}",256.0,8:24:52,2:57:08,30.0,84.0,29.34,8.74,1651293950,1651324242,2022-04-29 23:45:50,2022-04-30 08:10:42,-75.9888533333,-77.12793,-13.0938616667,-12.0450666667,BBB-850
3.85,9.45,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '30 Apr 2022 23:54:29', 'v': 1651380869, 'y': -13.0935516667, 'x': -75.988175}","{'t': '01 May 2022 09:21:36', 'v': 1651414896, 'y': -11.9710533333, 'x': -76.88308}",256.0,9:27:07,3:51:10,27.0,78.0,32.25,7.95,1651380869,1651414896,2022-04-30 23:54:29,2022-05-01 09:21:36,-75.988175,-76.88308,-13.0935516667,-11.9710533333,BBB-850
2.59,8.84,0.2,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '04 May 2022 00:30:10', 'v': 1651642210, 'y': -13.0938633333, 'x': -75.9889}","{'t': '04 May 2022 09:20:51', 'v': 1651674051, 'y': -12.045105, 'x': -77.12793}",256.0,8:50:41,2:35:14,29.0,84.0,30.74,8.33,1651642210,1651674051,2022-05-04 00:30:10,2022-05-04 09:20:51,-75.9889,-77.12793,-13.0938633333,-12.045105,BBB-850
3.65,9.83,0.22,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '06 May 2022 02:04:07', 'v': 1651820647, 'y': -13.0938433333, 'x': -75.9888233333}","{'t': '06 May 2022 11:54:04', 'v': 1651856044, 'y': -11.9709383333, 'x': -76.8829266667}",260.0,9:49:57,3:39:05,26.0,79.0,33.18,7.82,1651820647,1651856044,2022-05-06 02:04:07,2022-05-06 11:54:04,-75.9888233333,-76.8829266667,-13.0938433333,-11.9709383333,BBB-850
1.89,7.65,0.21,Mina Cerro Lindo - Impala Terminals,Mina Cerro Lindo,Impala Terminals,"{'t': '07 May 2022 00:38:54', 'v': 1651901934, 'y': -13.0938816667, 'x': -75.9888916667}","{'t': '07 May 2022 08:18:06', 'v': 1651929486, 'y': -12.0450833333, 'x': -77.1279066667}",260.0,7:39:12,1:53:06,34.0,88.0,29.49,8.81,1651901934,1651929486,2022-05-07 00:38:54,2022-05-07 08:18:06,-75.9888916667,-77.1279066667,-13.0938816667,-12.0450833333,BBB-850
4.6,10.21,0.24,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '07 May 2022 23:53:03', 'v': 1651985583, 'y': -13.09386, 'x': -75.9888233333}","{'t': '08 May 2022 10:05:21', 'v': 1652022321, 'y': -11.96987, 'x': -76.88237}",259.0,10:12:18,4:36:05,25.0,85.0,32.22,8.05,1651985583,1652022321,2022-05-07 23:53:03,2022-05-08 10:05:21,-75.9888233333,-76.88237,-13.09386,-11.96987,BBB-850
1.97,7.88,0.23,Mina Cerro Lindo - Refineria Cajamarquilla,Mina Cerro Lindo,Refineria Cajamarquilla,"{'t': '09 May 2022 00:42:25', 'v': 1652074945, 'y': -13.0935266667, 'x': -75.9884566667}","{'t': '09 May 2022 08:34:55', 'v': 1652103295, 'y': -11.9712, 'x': -76.883255}",260.0,7:52:30,1:58:11,33.0,88.0,32.91,7.89,1652074945,1652103295,2022-05-09 00:42:25,2022-05-09 08:34:55,-75.9884566667,-76.883255,-13.0935266667,-11.9712,BBB-850
5.83,10.73,0.13,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '21 Feb 2022 14:37:46', 'v': 1645472266, 'y': -13.0938683333, 'x': -75.9888833333}","{'t': '22 Feb 2022 01:21:42', 'v': 1645510902, 'y': -12.191315, 'x': -76.9077533333}",226.0,10:43:56,5:49:51,21.0,89.0,14.83,15.26,1645472266,1645510902,2022-02-21 14:37:46,2022-02-22 01:21:42,-75.9888833333,-76.9077533333,-13.0938683333,-12.191315,BBC-924
9.04,14.68,0.11,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '23 Feb 2022 07:46:38', 'v': 1645620398, 'y': -13.0938733333, 'x': -75.9889}","{'t': '23 Feb 2022 22:27:20', 'v': 1645673240, 'y': -12.1914666667, 'x': -76.9085616667}",226.0,14:40:42,9:02:20,15.0,82.0,14.5,15.59,1645620398,1645673240,2022-02-23 07:46:38,2022-02-23 22:27:20,-75.9889,-76.9085616667,-13.0938733333,-12.1914666667,BBC-924
5.29,10.13,0.12,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '24 Feb 2022 13:37:24', 'v': 1645727844, 'y': -13.093875, 'x': -75.9888766667}","{'t': '24 Feb 2022 23:45:26', 'v': 1645764326, 'y': -12.1912066667, 'x': -76.907685}",222.0,10:08:02,5:17:26,22.0,87.0,13.48,16.46,1645727844,1645764326,2022-02-24 13:37:24,2022-02-24 23:45:26,-75.9888766667,-76.907685,-13.093875,-12.1912066667,BBC-924
3.46,8.63,0.11,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '25 Feb 2022 13:37:32', 'v': 1645814252, 'y': -13.0938966667, 'x': -75.9888233333}","{'t': '25 Feb 2022 22:15:36', 'v': 1645845336, 'y': -12.19115, 'x': -76.9075933333}",225.0,8:38:04,3:27:20,26.0,91.0,14.27,15.8,1645814252,1645845336,2022-02-25 13:37:32,2022-02-25 22:15:36,-75.9888233333,-76.9075933333,-13.0938966667,-12.19115,BBC-924
6.71,11.41,0.15,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '26 Feb 2022 13:19:55', 'v': 1645899595, 'y': -13.093845, 'x': -75.9887383333}","{'t': '27 Feb 2022 00:44:29', 'v': 1645940669, 'y': -12.1912266667, 'x': -76.9076916667}",225.0,11:24:34,6:42:41,20.0,89.0,16.68,13.48,1645899595,1645940669,2022-02-26 13:19:55,2022-02-27 00:44:29,-75.9887383333,-76.9076916667,-13.093845,-12.1912266667,BBC-924
3.75,10.74,0.12,Mina Cerro Lindo - Cementos Inka,Mina Cerro Lindo,Cementos Inka,"{'t': '27 Feb 2022 13:41:02', 'v': 1645987262, 'y': -13.0938833333, 'x': -75.9888083333}","{'t': '28 Feb 2022 00:25:10', 'v': 1646025910, 'y': -11.99222, 'x': -76.90194}",255.0,10:44:08,3:45:14,24.0,91.0,19.61,13.02,1645987262,1646025910,2022-02-27 13:41:02,2022-02-28 00:25:10,-75.9888083333,-76.90194,-13.0938833333,-11.99222,BBC-924
8.65,13.51,0.13,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '28 Feb 2022 12:26:18', 'v': 1646069178, 'y': -13.09378, 'x': -75.9886633333}","{'t': '01 Mar 2022 01:56:41', 'v': 1646117801, 'y': -12.1912133333, 'x': -76.9076233333}",225.0,13:30:23,8:38:47,17.0,94.0,14.81,15.17,1646069178,1646117801,2022-02-28 12:26:18,2022-03-01 01:56:41,-75.9886633333,-76.9076233333,-13.09378,-12.1912133333,BBC-924
25.81,30.97,0.12,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '01 Mar 2022 15:35:52', 'v': 1646166952, 'y': -13.0939516667, 'x': -75.9888916667}","{'t': '02 Mar 2022 22:34:04', 'v': 1646278444, 'y': -12.1911583333, 'x': -76.907585}",225.0,1 days 6:58:12,1 days 1:48:40,7.0,96.0,15.08,14.89,1646166952,1646278444,2022-03-01 15:35:52,2022-03-02 22:34:04,-75.9888916667,-76.907585,-13.0939516667,-12.1911583333,BBC-924
47.73,53.27,0.11,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '03 Mar 2022 16:02:47', 'v': 1646341367, 'y': -13.093865, 'x': -75.988915}","{'t': '05 Mar 2022 21:18:56', 'v': 1646533136, 'y': -12.1911583333, 'x': -76.9076}",225.0,2 days 5:16:09,1 days 23:43:31,4.0,94.0,14.11,15.96,1646341367,1646533136,2022-03-03 16:02:47,2022-03-05 21:18:56,-75.988915,-76.9076,-13.093865,-12.1911583333,BBC-924
201.04,207.01,0.14,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '07 Mar 2022 08:20:08', 'v': 1646659208, 'y': -13.0938916667, 'x': -75.9888683333}","{'t': '15 Mar 2022 23:20:45', 'v': 1647404445, 'y': -12.1911166667, 'x': -76.9076083333}",230.0,8 days 15:00:37,8 days 9:02:14,1.0,87.0,20.21,11.4,1646659208,1647404445,2022-03-07 08:20:08,2022-03-15 23:20:45,-75.9888683333,-76.9076083333,-13.0938916667,-12.1911166667,BBC-924
3.3,8.46,0.12,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '16 Mar 2022 14:48:03', 'v': 1647460083, 'y': -13.0938766667, 'x': -75.9888533333}","{'t': '16 Mar 2022 23:15:50', 'v': 1647490550, 'y': -12.1911966667, 'x': -76.907685}",225.0,8:27:47,3:18:06,27.0,85.0,14.63,15.4,1647460083,1647490550,2022-03-16 14:48:03,2022-03-16 23:15:50,-75.9888533333,-76.907685,-13.0938766667,-12.1911966667,BBC-924
2.64,7.46,0.13,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '19 Mar 2022 13:31:51', 'v': 1647714711, 'y': -13.0938666667, 'x': -75.9888916667}","{'t': '19 Mar 2022 20:59:09', 'v': 1647741549, 'y': -12.1912516667, 'x': -76.907715}",221.0,7:27:18,2:38:17,30.0,85.0,15.23,14.54,1647714711,1647741549,2022-03-19 13:31:51,2022-03-19 20:59:09,-75.9888916667,-76.907715,-13.0938666667,-12.1912516667,BBC-924
1.3,7.02,0.13,Mina Cerro Lindo - Cementos Inka,Mina Cerro Lindo,Cementos Inka,"{'t': '20 Mar 2022 15:03:20', 'v': 1647806600, 'y': -13.0938366667, 'x': -75.9888383333}","{'t': '20 Mar 2022 22:04:26', 'v': 1647831866, 'y': -11.99223, 'x': -76.901855}",256.0,7:01:06,1:18:15,37.0,88.0,18.02,14.22,1647806600,1647831866,2022-03-20 15:03:20,2022-03-20 22:04:26,-75.9888383333,-76.901855,-13.0938366667,-11.99223,BBC-924
5.34,10.29,0.13,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '21 Mar 2022 13:13:05', 'v': 1647886385, 'y': -13.0938516667, 'x': -75.9889216667}","{'t': '21 Mar 2022 23:30:32', 'v': 1647923432, 'y': -12.1912683333, 'x': -76.9076916667}",226.0,10:17:27,5:20:34,22.0,84.0,15.35,14.69,1647886385,1647923432,2022-03-21 13:13:05,2022-03-21 23:30:32,-75.9889216667,-76.9076916667,-13.0938516667,-12.1912683333,BBC-924
12.11,17.27,0.12,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '23 Mar 2022 06:07:30', 'v': 1648033650, 'y': -13.0939, 'x': -75.9888466667}","{'t': '23 Mar 2022 23:23:31', 'v': 1648095811, 'y': -12.19128, 'x': -76.9077}",225.0,17:16:01,12:06:34,13.0,89.0,15.21,14.8,1648033650,1648095811,2022-03-23 06:07:30,2022-03-23 23:23:31,-75.9888466667,-76.9077,-13.0939,-12.19128,BBC-924
3.22,7.96,0.13,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '24 Mar 2022 15:14:15', 'v': 1648152855, 'y': -13.093875, 'x': -75.9888683333}","{'t': '24 Mar 2022 23:12:00', 'v': 1648181520, 'y': -12.1911566667, 'x': -76.9076083333}",226.0,7:57:45,3:13:18,28.0,90.0,15.2,14.84,1648152855,1648181520,2022-03-24 15:14:15,2022-03-24 23:12:00,-75.9888683333,-76.9076083333,-13.093875,-12.1911566667,BBC-924
5.37,10.25,0.13,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '26 Mar 2022 08:51:43', 'v': 1648302703, 'y': -13.093905, 'x': -75.9888683333}","{'t': '26 Mar 2022 19:06:38', 'v': 1648339598, 'y': -12.19114, 'x': -76.907585}",222.0,10:14:55,5:22:17,22.0,81.0,14.7,15.12,1648302703,1648339598,2022-03-26 08:51:43,2022-03-26 19:06:38,-75.9888683333,-76.907585,-13.093905,-12.19114,BBC-924
1.45,6.47,0.14,Mina Cerro Lindo - Cementos Inka,Mina Cerro Lindo,Cementos Inka,"{'t': '27 Mar 2022 11:47:01', 'v': 1648399621, 'y': -13.093885, 'x': -75.9888683333}","{'t': '27 Mar 2022 18:14:56', 'v': 1648422896, 'y': -11.9921883333, 'x': -76.9019466667}",252.0,6:27:55,1:27:06,39.0,82.0,16.68,15.12,1648399621,1648422896,2022-03-27 11:47:01,2022-03-27 18:14:56,-75.9888683333,-76.9019466667,-13.093885,-11.9921883333,BBC-924
3.51,8.19,0.13,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '28 Mar 2022 13:33:30', 'v': 1648492410, 'y': -13.0939, 'x': -75.9889}","{'t': '28 Mar 2022 21:45:06', 'v': 1648521906, 'y': -12.1911366667, 'x': -76.907685}",222.0,8:11:36,3:30:21,27.0,84.0,14.14,15.7,1648492410,1648521906,2022-03-28 13:33:30,2022-03-28 21:45:06,-75.9889,-76.907685,-13.0939,-12.1911366667,BBC-924
2.91,7.39,0.13,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '29 Mar 2022 13:05:43', 'v': 1648577143, 'y': -13.093835, 'x': -75.98867}","{'t': '29 Mar 2022 20:29:11', 'v': 1648603751, 'y': -12.1911666667, 'x': -76.9076533333}",222.0,7:23:28,2:54:19,30.0,80.0,13.58,16.33,1648577143,1648603751,2022-03-29 13:05:43,2022-03-29 20:29:11,-75.98867,-76.9076533333,-13.093835,-12.1911666667,BBC-924
3.71,9.04,0.11,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '30 Mar 2022 11:37:46', 'v': 1648658266, 'y': -13.0938283333, 'x': -75.9889}","{'t': '30 Mar 2022 20:40:03', 'v': 1648690803, 'y': -12.1911383333, 'x': -76.9076316667}",222.0,9:02:17,3:42:43,25.0,81.0,14.18,15.66,1648658266,1648690803,2022-03-30 11:37:46,2022-03-30 20:40:03,-75.9889,-76.9076316667,-13.0938283333,-12.1911383333,BBC-924
2.62,8.24,0.15,Mina Cerro Lindo - Cementos Inka,Mina Cerro Lindo,Cementos Inka,"{'t': '31 Mar 2022 14:03:49', 'v': 1648753429, 'y': -13.09382, 'x': -75.988785}","{'t': '31 Mar 2022 22:18:00', 'v': 1648783080, 'y': -11.9921883333, 'x': -76.9020083333}",306.0,8:14:11,2:37:06,37.0,91.0,20.15,15.2,1648753429,1648783080,2022-03-31 14:03:49,2022-03-31 22:18:00,-75.988785,-76.9020083333,-13.09382,-11.9921883333,BBC-924
1.87,7.23,0.11,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '01 Apr 2022 13:40:45', 'v': 1648838445, 'y': -13.0938716667, 'x': -75.9888916667}","{'t': '01 Apr 2022 20:54:16', 'v': 1648864456, 'y': -12.19114, 'x': -76.9075933333}",222.0,7:13:31,1:52:20,31.0,83.0,13.6,16.34,1648838445,1648864456,2022-04-01 13:40:45,2022-04-01 20:54:16,-75.9888916667,-76.9075933333,-13.0938716667,-12.19114,BBC-924
3.08,7.84,0.12,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '02 Apr 2022 13:36:05', 'v': 1648924565, 'y': -13.093785, 'x': -75.9886316667}","{'t': '02 Apr 2022 21:26:21', 'v': 1648952781, 'y': -12.1911483333, 'x': -76.9076233333}",221.0,7:50:16,3:04:35,28.0,84.0,13.38,16.52,1648924565,1648952781,2022-04-02 13:36:05,2022-04-02 21:26:21,-75.9886316667,-76.9076233333,-13.093785,-12.1911483333,BBC-924
2.27,7.45,0.14,Mina Cerro Lindo - Cementos Inka,Mina Cerro Lindo,Cementos Inka,"{'t': '03 Apr 2022 12:01:29', 'v': 1649005289, 'y': -13.0938166667, 'x': -75.9889216667}","{'t': '03 Apr 2022 19:28:42', 'v': 1649032122, 'y': -11.9922133333, 'x': -76.9018933333}",253.0,7:27:13,2:16:11,34.0,93.0,17.13,14.75,1649005289,1649032122,2022-04-03 12:01:29,2022-04-03 19:28:42,-75.9889216667,-76.9018933333,-13.0938166667,-11.9922133333,BBC-924
0.69,5.26,0.13,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '04 Apr 2022 15:21:28', 'v': 1649103688, 'y': -13.0937166667, 'x': -75.9884116667}","{'t': '04 Apr 2022 20:37:04', 'v': 1649122624, 'y': -12.1911483333, 'x': -76.9076766667}",222.0,5:15:36,0:41:09,42.0,95.0,13.78,16.09,1649103688,1649122624,2022-04-04 15:21:28,2022-04-04 20:37:04,-75.9884116667,-76.9076766667,-13.0937166667,-12.1911483333,BBC-924
27.11,35.46,0.14,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '06 Apr 2022 11:57:50', 'v': 1649264270, 'y': -13.0938833333, 'x': -75.9885333333}","{'t': '07 Apr 2022 23:25:12', 'v': 1649391912, 'y': -12.1911, 'x': -76.9076233333}",376.0,1 days 11:27:22,1 days 3:06:27,11.0,98.0,27.94,13.47,1649264270,1649391912,2022-04-06 11:57:50,2022-04-07 23:25:12,-75.9885333333,-76.9076233333,-13.0938833333,-12.1911,BBC-924
6.22,11.2,0.12,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '08 Apr 2022 13:05:57', 'v': 1649441157, 'y': -13.0938316667, 'x': -75.9887933333}","{'t': '09 Apr 2022 00:17:55', 'v': 1649481475, 'y': -12.1911183333, 'x': -76.9076316667}",225.0,11:11:58,6:13:23,20.0,96.0,14.1,15.98,1649441157,1649481475,2022-04-08 13:05:57,2022-04-09 00:17:55,-75.9887933333,-76.9076316667,-13.0938316667,-12.1911183333,BBC-924
5.29,10.2,0.12,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '09 Apr 2022 12:23:10', 'v': 1649524990, 'y': -13.0935716667, 'x': -75.9883266667}","{'t': '09 Apr 2022 22:34:57', 'v': 1649561697, 'y': -12.1911433333, 'x': -76.9075933333}",222.0,10:11:47,5:17:15,22.0,89.0,14.01,15.82,1649524990,1649561697,2022-04-09 12:23:10,2022-04-09 22:34:57,-75.9883266667,-76.9075933333,-13.0935716667,-12.1911433333,BBC-924
1.8,6.66,0.13,Mina Cerro Lindo - Cementos Inka,Mina Cerro Lindo,Cementos Inka,"{'t': '10 Apr 2022 11:50:37', 'v': 1649609437, 'y': -13.0938633333, 'x': -75.9889066667}","{'t': '10 Apr 2022 18:29:56', 'v': 1649633396, 'y': -11.992225, 'x': -76.90184}",252.0,6:39:19,1:48:13,38.0,90.0,15.67,16.12,1649609437,1649633396,2022-04-10 11:50:37,2022-04-10 18:29:56,-75.9889066667,-76.90184,-13.0938633333,-11.992225,BBC-924
0.54,5.34,0.11,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '11 Apr 2022 15:36:40', 'v': 1649709400, 'y': -13.09379, 'x': -75.98854}","{'t': '11 Apr 2022 20:56:51', 'v': 1649728611, 'y': -12.1912133333, 'x': -76.9076683333}",222.0,5:20:11,0:32:08,42.0,88.0,12.91,17.18,1649709400,1649728611,2022-04-11 15:36:40,2022-04-11 20:56:51,-75.98854,-76.9076683333,-13.09379,-12.1912133333,BBC-924
28.2,33.36,0.12,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '12 Apr 2022 13:19:55', 'v': 1649787595, 'y': -13.0938633333, 'x': -75.9888233333}","{'t': '13 Apr 2022 22:41:33', 'v': 1649907693, 'y': -12.1911516667, 'x': -76.9076083333}",225.0,1 days 9:21:38,1 days 4:11:42,7.0,86.0,14.73,15.3,1649787595,1649907693,2022-04-12 13:19:55,2022-04-13 22:41:33,-75.9888233333,-76.9076083333,-13.0938633333,-12.1911516667,BBC-924
1.09,5.96,0.11,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '14 Apr 2022 13:20:10', 'v': 1649960410, 'y': -13.0938916667, 'x': -75.9889}","{'t': '14 Apr 2022 19:17:29', 'v': 1649981849, 'y': -12.1911483333, 'x': -76.9076083333}",222.0,5:57:19,1:05:16,37.0,93.0,13.09,16.94,1649960410,1649981849,2022-04-14 13:20:10,2022-04-14 19:17:29,-75.9889,-76.9076083333,-13.0938916667,-12.1911483333,BBC-924
22.72,28.1,0.13,Mina Cerro Lindo - Cementos Inka,Mina Cerro Lindo,Cementos Inka,"{'t': '15 Apr 2022 14:58:37', 'v': 1650052717, 'y': -13.0939083333, 'x': -75.9888383333}","{'t': '16 Apr 2022 19:04:53', 'v': 1650153893, 'y': -11.99223, 'x': -76.9020233333}",258.0,1 days 4:06:16,22:43:29,9.0,91.0,16.76,15.36,1650052717,1650153893,2022-04-15 14:58:37,2022-04-16 19:04:53,-75.9888383333,-76.9020233333,-13.0939083333,-11.99223,BBC-924
1.67,6.5,0.14,Mina Cerro Lindo - Cementos Inka,Mina Cerro Lindo,Cementos Inka,"{'t': '17 Apr 2022 14:33:43', 'v': 1650224023, 'y': -13.09384, 'x': -75.9887083333}","{'t': '17 Apr 2022 21:03:55', 'v': 1650247435, 'y': -11.9921866667, 'x': -76.902}",252.0,6:30:12,1:40:05,39.0,89.0,15.87,15.88,1650224023,1650247435,2022-04-17 14:33:43,2022-04-17 21:03:55,-75.9887083333,-76.902,-13.09384,-11.9921866667,BBC-924
3.29,7.9,0.12,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '19 Apr 2022 13:24:49', 'v': 1650392689, 'y': -13.093855, 'x': -75.9888683333}","{'t': '19 Apr 2022 21:19:03', 'v': 1650421143, 'y': -12.1912783333, 'x': -76.907745}",222.0,7:54:14,3:17:19,28.0,86.0,13.07,17.0,1650392689,1650421143,2022-04-19 13:24:49,2022-04-19 21:19:03,-75.9888683333,-76.907745,-13.093855,-12.1912783333,BBC-924
2.29,7.06,0.12,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '20 Apr 2022 14:09:34', 'v': 1650481774, 'y': -13.0936, 'x': -75.9882433333}","{'t': '20 Apr 2022 21:12:54', 'v': 1650507174, 'y': -12.19122, 'x': -76.9076766667}",222.0,7:03:20,2:17:11,32.0,91.0,13.81,16.11,1650481774,1650507174,2022-04-20 14:09:34,2022-04-20 21:12:54,-75.9882433333,-76.9076766667,-13.0936,-12.19122,BBC-924
1.53,6.5,0.11,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '21 Apr 2022 13:33:11', 'v': 1650565991, 'y': -13.093865, 'x': -75.9888616667}","{'t': '21 Apr 2022 20:03:25', 'v': 1650589405, 'y': -12.19121, 'x': -76.9077066667}",221.0,6:30:14,1:31:34,34.0,84.0,13.16,16.81,1650565991,1650589405,2022-04-21 13:33:11,2022-04-21 20:03:25,-75.9888616667,-76.9077066667,-13.093865,-12.19121,BBC-924
1.89,6.7,0.12,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '22 Apr 2022 16:50:28', 'v': 1650664228, 'y': -13.093875, 'x': -75.9889}","{'t': '22 Apr 2022 23:32:29', 'v': 1650688349, 'y': -12.19135, 'x': -76.90786}",222.0,6:42:01,1:53:10,33.0,84.0,13.86,16.04,1650664228,1650688349,2022-04-22 16:50:28,2022-04-22 23:32:29,-75.9889,-76.90786,-13.093875,-12.19135,BBC-924
0.25,4.87,0.12,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '23 Apr 2022 15:03:10', 'v': 1650744190, 'y': -13.0938716667, 'x': -75.988915}","{'t': '23 Apr 2022 19:55:08', 'v': 1650761708, 'y': -12.1913466667, 'x': -76.9078066667}",222.0,4:51:58,0:14:47,46.0,92.0,13.41,16.54,1650744190,1650761708,2022-04-23 15:03:10,2022-04-23 19:55:08,-75.988915,-76.9078066667,-13.0938716667,-12.1913466667,BBC-924
1.67,6.47,0.14,Mina Cerro Lindo - Cementos Inka,Mina Cerro Lindo,Cementos Inka,"{'t': '24 Apr 2022 13:24:42', 'v': 1650824682, 'y': -13.0938833333, 'x': -75.9888766667}","{'t': '24 Apr 2022 19:53:06', 'v': 1650847986, 'y': -11.992175, 'x': -76.901855}",253.0,6:28:24,1:40:11,39.0,92.0,16.26,15.55,1650824682,1650847986,2022-04-24 13:24:42,2022-04-24 19:53:06,-75.9888766667,-76.901855,-13.0938833333,-11.992175,BBC-924
3.97,9.3,0.11,Mina Cerro Lindo - Unacem,Mina Cerro Lindo,Unacem,"{'t': '25 Apr 2022 13:01:16', 'v': 1650909676, 'y': -13.093875, 'x': -75.988915}","{'t': '25 Apr 2022 22:19:23', 'v': 1650943163, 'y': -12.19126, 'x': -76.907685}",226.0,9:18:07,3:58:17,24.0,84.0,14.27,15.83,1650909676,1650943163,2022-04-25 13:01:16,2022-04-25 22:19:23,-75.988915,-76.907685,-13.093875,-12.19126,BBC-924
